MsgID.GLOBAL_POSITION,1523519200.1952713,-122.3982936,37.7963890,0.0920000
MsgID.LOCAL_VELOCITY,1523519200.1952713,0.0000000,0.0000000,0.0000000
MsgID.STATE,1523519200.1971810,False,False
MsgID.LOCAL_POSITION,1523519200.1995311,434.2930603,-74.6926575,-0.0928896
MsgID.LOCAL_VELOCITY,1523519200.1995311,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_HOME,1523519200.2010334,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,1523519200.2018504,-122.3982927,37.7963903,0.0900000
MsgID.LOCAL_VELOCITY,1523519200.2018504,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1523519200.2030029,434.4343567,-74.6181412,-0.0902888
MsgID.LOCAL_VELOCITY,1523519200.2030029,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,1523519200.2039807,-122.3982927,37.7963893,0.0900000
MsgID.LOCAL_VELOCITY,1523519200.2039807,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1523519200.2054138,434.3150330,-74.6174545,-0.0909031
MsgID.LOCAL_VELOCITY,1523519200.2054138,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,1523519200.2067454,-122.3982927,37.7963891,0.0980000
MsgID.LOCAL_VELOCITY,1523519200.2067454,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1523519200.2080545,434.2964172,-74.6180267,-0.0984825
MsgID.LOCAL_VELOCITY,1523519200.2080545,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,1523519200.3180678,-122.3982927,37.7963887,0.1110000
MsgID.LOCAL_VELOCITY,1523519200.3180678,0.0000000,0.0000000,0.0000000
MsgID.STATE,1523519200.3218641,True,True
MsgID.LOCAL_POSITION,1523519221.2401319,434.2540894,-74.6174774,-0.1124547
MsgID.LOCAL_VELOCITY,1523519221.2401319,-0.0000042,0.0000502,0.0000178
MsgID.GLOBAL_HOME,1523519221.2411819,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,1523519221.2421134,-122.3982925,37.7963885,0.1300000
MsgID.LOCAL_VELOCITY,1523519221.2421134,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1523519221.2428133,434.2293091,-74.5964661,-0.1322040
MsgID.LOCAL_VELOCITY,1523519221.2428133,-0.0000026,0.0000457,0.0000158
MsgID.GLOBAL_POSITION,1523519221.2436917,-122.3982917,37.7963884,0.1600000
MsgID.LOCAL_VELOCITY,1523519221.2436917,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1523519221.2446129,434.2212219,-74.5308685,-0.1629637
MsgID.LOCAL_VELOCITY,1523519221.2446129,0.0000076,0.0000591,0.0000166
MsgID.GLOBAL_POSITION,1523519221.2454395,-122.3982932,37.7963890,0.1920000
MsgID.LOCAL_VELOCITY,1523519221.2454395,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1523519221.2464976,434.2905579,-74.6717453,-0.1934170
MsgID.LOCAL_VELOCITY,1523519221.2464976,0.0000041,0.0000554,0.0000126
MsgID.GLOBAL_POSITION,1523519221.2472520,-122.3982947,37.7963892,0.2180000
MsgID.LOCAL_VELOCITY,1523519221.2472520,0.0000000,0.0000000,0.0000000
MsgID.STATE,1523519221.2488291,True,True
MsgID.LOCAL_POSITION,1523519221.2510211,434.3139038,-74.7835693,-0.2204903
MsgID.LOCAL_VELOCITY,1523519221.2510211,0.0000032,0.0000520,0.0000136
